order_id,product,quantity,price,city,revenue
101,Laptop,1,65000,Bangalore,65000
102,Mouse,2,1200,Delhi,2400
103,Keyboard,1,3500,Mumbai,3500
104,Monitor,2,14000,Chennai,28000
105,Headphones,3,2500,Bangalore,7500
106,Chair,1,8500,Hyderabad,8500
107,Desk,1,12000,Pune,12000
108,Mousepad,4,450,Delhi,1800
109,Webcam,2,4200,Mumbai,8400
110,Microphone,1,6800,Bangalore,6800
111,Laptop,2,65000,Delhi,130000
112,Mouse,5,1200,Hyderabad,6000
113,Keyboard,2,3500,Chennai,7000
114,Monitor,1,14000,Pune,14000
115,Headphones,1,2500,Delhi,2500
116,Chair,2,8500,Bangalore,17000
117,Desk,1,12000,Mumbai,12000
118,Mousepad,3,450,Chennai,1350
119,Webcam,1,4200,Hyderabad,4200
120,Microphone,2,6800,Pune,13600
121,Laptop,1,65000,Mumbai,65000
122,Mouse,3,1200,Bangalore,3600
123,Keyboard,1,3500,Delhi,3500
124,Monitor,3,14000,Hyderabad,42000
125,Headphones,2,2500,Chennai,5000
126,Chair,1,8500,Pune,8500
127,Desk,2,12000,Bangalore,24000
128,Mousepad,5,450,Mumbai,2250
129,Webcam,2,4200,Delhi,8400
130,Microphone,1,6800,Chennai,6800
